densidade,batch_id,id,timestamp,hour
9985828,9234,1,2021-07-04T05:20:48,129.58666666666667
10001016,9243,1,2021-07-04T06:05:48,130.33666666666667
9990882,9252,1,2021-07-04T06:50:48,131.08666666666667
9970707,9261,1,2021-07-04T07:35:48,131.83666666666667
10011181,9270,1,2021-07-04T08:20:48,132.58666666666667
10011181,9279,1,2021-07-04T09:05:48,133.33666666666667
9970707,9288,1,2021-07-04T09:50:48,134.08666666666667
10001016,9297,1,2021-07-04T10:35:48,134.83666666666667
10016276,9306,1,2021-07-04T11:20:48,135.58666666666667
9965683,9315,1,2021-07-04T12:05:48,136.33666666666667
9990882,9324,1,2021-07-04T12:50:48,137.08666666666667
10016276,9333,1,2021-07-04T13:35:48,137.83666666666667
9990882,9342,1,2021-07-04T14:20:48,138.58666666666667
9985828,9351,1,2021-07-04T15:05:48,139.33666666666667
10021376,9360,1,2021-07-04T15:50:48,140.08666666666667
10041865,9369,1,2021-07-04T16:35:48,140.83666666666667
9995945,9378,1,2021-07-04T17:20:48,141.58666666666667
10021376,9387,1,2021-07-04T18:05:48,142.33666666666667
9995945,9396,1,2021-07-04T18:50:48,143.08666666666667
10016276,9405,1,2021-07-04T19:35:48,143.83666666666667
9985828,9414,1,2021-07-04T20:20:48,144.58666666666667
10031605,9423,1,2021-07-04T21:05:48,145.33666666666667
10062479,9432,1,2021-07-04T21:50:48,146.08666666666667
10031605,9441,1,2021-07-04T22:35:48,146.83666666666667
10021376,9450,1,2021-07-04T23:20:48,147.58666666666667
10011181,9459,1,2021-07-05T00:05:48,148.33666666666667
10016276,9468,1,2021-07-05T00:50:48,149.08666666666667
9990882,9477,1,2021-07-05T01:35:48,149.83666666666667
9985828,9486,1,2021-07-05T02:20:48,150.58666666666667
10016276,9495,1,2021-07-05T03:05:48,151.33666666666667
10026488,9504,1,2021-07-05T03:50:48,152.08666666666667
10006094,9513,1,2021-07-05T04:35:48,152.83666666666667
9955658,9522,1,2021-07-05T05:20:48,153.58666666666667
10001016,9531,1,2021-07-05T06:05:48,154.33666666666667
10006094,9540,1,2021-07-05T06:50:48,155.08666666666667
9990882,9549,1,2021-07-05T07:35:48,155.83666666666667
10021376,9558,1,2021-07-05T08:20:48,156.58666666666667
9980779,9567,1,2021-07-05T09:05:48,157.33666666666667
9960668,9576,1,2021-07-05T09:50:48,158.08666666666667
9980779,9585,1,2021-07-05T10:35:48,158.83666666666667
9995945,9594,1,2021-07-05T11:20:48,159.58666666666667
9985828,9603,1,2021-07-05T12:05:48,160.33666666666667
9965683,9612,1,2021-07-05T12:50:48,161.08666666666667
9940678,9621,1,2021-07-05T13:35:48,161.83666666666667
10011181,9630,1,2021-07-05T14:20:48,162.58666666666667
10026488,9639,1,2021-07-05T15:05:48,163.33666666666667
9935700,9648,1,2021-07-05T15:50:48,164.08666666666667
9990882,9657,1,2021-07-05T16:35:48,164.83666666666667
9995945,9666,1,2021-07-05T17:20:48,165.58666666666667
9995945,9675,1,2021-07-05T18:05:48,166.33666666666667
9965683,9684,1,2021-07-05T18:50:48,167.08666666666667
9975740,9693,1,2021-07-05T19:35:48,167.83666666666667
10011181,9702,1,2021-07-05T20:20:48,168.58666666666667
10011181,9711,1,2021-07-05T21:05:48,169.33666666666667
10006094,9720,1,2021-07-05T21:50:48,170.08666666666667
10016276,9729,1,2021-07-05T22:35:48,170.83666666666667
9985828,9738,1,2021-07-05T23:20:48,171.58666666666667
9980779,9747,1,2021-07-06T00:05:48,172.33666666666667
10011181,9756,1,2021-07-06T00:50:48,173.08666666666667
10021376,9765,1,2021-07-06T01:35:48,173.83666666666667
9960668,9774,1,2021-07-06T02:20:48,174.58666666666667
10016276,9783,1,2021-07-06T03:05:48,175.33666666666667
